===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-04-13 04:09:20
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
119.39.198.159:808        | CCTV7国防军事       |   4.14 Mbps |   0%
119.39.198.159:808        | 深圳卫视            |   3.97 Mbps |   0%
171.116.254.184:9003      | 山西影视            |   1.37 Mbps | 100%
171.116.254.184:9003      | 广东卫视            |   7.05 Mbps |  93%
106.46.80.156:9003        | CCTV3           |    6.3 Mbps |  15%
106.46.80.156:9003        | 都市频道            |   6.49 Mbps |  14%
106.44.226.206:88         | 黑龙江卫视           |   3.71 Mbps | 100%
106.44.226.206:88         | CCTV6           |   6.79 Mbps |  64%
39.105.190.112:8009       | 古装剧场            |   1.48 Mbps |  92%
39.105.190.112:8009       | CCTV1           |   2.48 Mbps |  97%
123.154.238.4:85          | CCTV1           |    1.2 Mbps | 100%
123.154.238.4:85          | 湖南卫视            |   0.66 Mbps | 100%
219.139.124.61:8089       | CCTV8           |   5.42 Mbps |  22%
219.139.124.61:8089       | 河南卫视            |   6.85 Mbps |  61%
60.187.246.126:85         | CCTV1           |   0.46 Mbps | 100%
60.187.246.126:85         | CCTV5           |   0.55 Mbps | 100%
183.237.71.182:40000      | 卡酷动画            |   2.21 Mbps |   0%
183.237.71.182:40000      | 青海卫视            |   4.03 Mbps |   0%
144.0.23.162:8085         | 1               |   6.68 Mbps |  27%
144.0.23.162:8085         | 9               |   7.76 Mbps |  74%
122.226.23.150:8888       | 浙江教育科技          |   6.85 Mbps |   0%
122.226.23.150:8888       | 江苏卫视            |   7.32 Mbps |   0%
36.99.205.139:85          | 北京卫视            |   5.78 Mbps |  63%
36.99.205.139:85          | 河南公共频道          |   2.17 Mbps | 100%
222.85.198.92:8000        | CCTV12          |   3.28 Mbps | 100%
222.85.198.92:8000        | 黑龙江卫视           |   5.25 Mbps |  15%
119.166.226.162:8082      | 16              |   8.15 Mbps |  85%
119.166.226.162:8082      | 7               |   4.92 Mbps |   4%
27.41.244.244:808         | 翡翠台             |   3.05 Mbps |   0%
27.41.244.244:808         | 汕头经济生活          |   3.83 Mbps |   0%
1.197.204.20:85           | CCTV5+          |   1.38 Mbps | 100%
1.197.204.20:85           | CCTV9           |   1.28 Mbps | 100%
124.165.251.82:85         | CCTV15          |   0.83 Mbps | 100%
124.165.251.82:85         | 重庆卫视            |   1.05 Mbps | 100%
1.31.14.70:54321          | CCTV8           |   0.45 Mbps | 100%
1.31.14.70:54321          | 河北卫视            |   0.55 Mbps | 100%
119.36.6.89:1111          | 江苏卫视            |   0.91 Mbps | 100%
119.36.6.89:1111          | 河南卫视            |   1.51 Mbps | 100%
60.174.86.121:5080        | Q亳州农村           |   3.78 Mbps |   0%
60.174.86.121:5080        | Q亳州新闻           |   3.93 Mbps |  30%
180.118.187.202:60001     | CCTV15          |   3.91 Mbps |   5%
180.118.187.202:60001     | CCTV1           |   4.12 Mbps |   0%
183.131.110.207:85        | 山东卫视            |    3.1 Mbps |  97%
183.131.110.207:85        | 中央4中文国际         |   3.35 Mbps |  93%
27.9.189.66:85            | 山西卫视            |   0.75 Mbps | 100%
101.95.21.250:10081       | 甘肃卫视            |   0.65 Mbps | 100%
101.95.21.250:10081       | CCTV15          |   0.84 Mbps | 100%
1.196.157.51:999          | CCTV3综艺         |   8.75 Mbps |  83%
1.196.157.51:999          | CCTV2财经         |   8.41 Mbps |  91%
42.227.89.86:9003         | 河南新农村           |   8.92 Mbps |  97%
42.227.89.86:9003         | CCTV11          |   8.74 Mbps |  68%
182.207.218.24:999        | 江西卫视            |   7.12 Mbps |  79%
182.207.218.24:999        | 河北卫视            |   4.44 Mbps |   0%
110.178.210.60:9003       | 内蒙卫视            |   3.06 Mbps |   0%
110.178.210.60:9003       | CCTV5+          |   6.26 Mbps |  69%
110.178.210.61:9003       | 陕西卫视            |   1.69 Mbps |   8%
110.178.210.61:9003       | CCTV4           |   2.11 Mbps | 100%
210.76.37.184:1234        | CCTV15音乐        |   2.49 Mbps |   0%
210.76.37.184:1234        | 东方卫视            |   8.19 Mbps |  97%
139.227.221.152:9901      | 北京卫视            |   8.03 Mbps |   0%
139.227.221.152:9901      | CCTV4           |   8.31 Mbps |   0%
60.26.16.10:85            | 甘肃卫视            |   1.92 Mbps |  94%
60.26.16.10:85            | 辽宁卫视            |   3.45 Mbps |  99%
110.178.211.230:9003      | 新疆卫视            |   2.04 Mbps | 100%
110.178.211.231:9003      | CCTV4           |   6.33 Mbps |  16%
222.142.184.218:9003      | 安徽卫视            |   9.51 Mbps |  88%
222.142.184.218:9003      | 河南公共            |   9.71 Mbps | 100%
101.66.199.12:85          | CCTV8           |   4.72 Mbps | 100%
101.66.199.12:85          | 河南卫视            |   1.02 Mbps | 100%
101.66.199.16:85          | 安徽卫视            |   0.39 Mbps | 100%
101.66.199.16:85          | 江西卫视            |   0.34 Mbps | 100%
222.142.187.241:9003      | CCTV12社会与法      |   8.67 Mbps |   0%
222.142.187.241:9003      | 深圳卫视            |   9.67 Mbps |  93%
183.186.144.161:85        | 天津卫视            |   6.89 Mbps |   0%
183.186.144.161:85        | CCTV9           |   6.88 Mbps |   0%
171.15.150.85:9999        | CCTV6           |   0.97 Mbps | 100%
171.15.150.85:9999        | CCTV5           |   0.55 Mbps | 100%
125.44.166.36:8888        | 河南新闻            |   9.07 Mbps |  97%
125.44.166.36:8888        | CCTV1综合         |   9.59 Mbps |  94%
14.106.99.200:888         | CCTV12          |   4.17 Mbps |   0%
14.106.99.200:888         | CCTVNEWS        |   4.02 Mbps |   0%
61.52.68.53:8899          | 云南卫视            |   9.68 Mbps |  98%
61.52.68.53:8899          | CCTV4           |   8.13 Mbps |   0%

📊 综合汇总 (Summary):
112.27.235.94:8000        | 有效频道:2 | 平均:  3.5 Mbps
120.209.208.163:5080      | 有效频道:2 | 平均: 5.25 Mbps
111.14.186.11:5009        | 有效频道:2 | 平均: 6.61 Mbps
183.221.211.20:808        | 有效频道:2 | 平均: 8.57 Mbps
120.224.84.170:8085       | 有效频道:2 | 平均: 9.19 Mbps
39.164.138.145:9003       | 有效频道:2 | 平均: 3.75 Mbps
223.72.123.44:85          | 有效频道:2 | 平均: 0.59 Mbps
27.41.245.102:808         | 有效频道:2 | 平均: 3.92 Mbps
113.200.114.168:20000     | 有效频道:2 | 平均: 3.33 Mbps
111.14.222.117:3333       | 有效频道:2 | 平均:10.41 Mbps
183.236.10.36:8083        | 有效频道:1 | 平均: 3.33 Mbps
180.165.12.42:50001       | 有效频道:2 | 平均: 0.07 Mbps
116.228.170.214:888       | 有效频道:2 | 平均: 0.53 Mbps
144.0.23.4:8085           | 有效频道:2 | 平均: 8.02 Mbps
1.24.39.180:808           | 有效频道:2 | 平均: 1.33 Mbps
119.166.230.171:8082      | 有效频道:2 | 平均: 5.64 Mbps
183.186.68.206:9999       | 有效频道:2 | 平均: 7.24 Mbps
119.39.198.172:808        | 有效频道:2 | 平均: 4.24 Mbps
123.12.186.252:9901       | 有效频道:2 | 平均: 1.03 Mbps
221.226.67.66:8199        | 有效频道:2 | 平均: 0.52 Mbps
39.89.117.222:8085        | 有效频道:2 | 平均: 0.22 Mbps
218.19.109.134:808        | 有效频道:2 | 平均: 9.09 Mbps
125.40.199.223:8092       | 有效频道:2 | 平均: 2.02 Mbps
144.0.23.80:8085          | 有效频道:2 | 平均: 1.69 Mbps
171.88.121.17:85          | 有效频道:2 | 平均: 1.27 Mbps
113.241.133.180:85        | 有效频道:1 | 平均: 3.71 Mbps
60.16.0.36:5757           | 有效频道:2 | 平均: 6.23 Mbps
223.95.198.3:8000         | 有效频道:2 | 平均:  1.8 Mbps
42.49.176.207:808         | 有效频道:2 | 平均: 6.97 Mbps
106.46.169.202:9000       | 有效频道:2 | 平均: 0.66 Mbps
183.191.50.247:9003       | 有效频道:2 | 平均:  6.3 Mbps
27.129.145.110:4433       | 有效频道:2 | 平均: 0.17 Mbps
59.45.161.118:8877        | 有效频道:2 | 平均: 5.92 Mbps
221.14.142.118:8000       | 有效频道:2 | 平均: 0.39 Mbps
114.252.121.120:8899      | 有效频道:2 | 平均: 3.67 Mbps
61.163.179.201:808        | 有效频道:2 | 平均: 9.04 Mbps
39.164.138.145:8899       | 有效频道:2 | 平均: 4.09 Mbps
113.235.151.48:777        | 有效频道:2 | 平均: 0.25 Mbps
114.252.114.191:8899      | 有效频道:2 | 平均: 9.54 Mbps
221.11.56.114:8888        | 有效频道:2 | 平均: 3.03 Mbps
61.173.159.249:9003       | 有效频道:2 | 平均:  0.5 Mbps
125.43.241.91:9901        | 有效频道:2 | 平均: 7.48 Mbps
221.14.142.118:9003       | 有效频道:2 | 平均: 0.27 Mbps
182.150.31.44:808         | 有效频道:2 | 平均: 1.81 Mbps
61.182.89.14:808          | 有效频道:2 | 平均: 9.04 Mbps
144.0.23.230:8085         | 有效频道:2 | 平均: 7.96 Mbps
61.138.82.196:808         | 有效频道:2 | 平均: 8.64 Mbps
171.8.87.21:9901          | 有效频道:1 | 平均:  0.1 Mbps
119.39.198.159:808        | 有效频道:2 | 平均: 4.05 Mbps
171.116.254.184:9003      | 有效频道:2 | 平均: 4.21 Mbps
106.46.80.156:9003        | 有效频道:2 | 平均: 6.39 Mbps
106.44.226.206:88         | 有效频道:2 | 平均: 5.25 Mbps
39.105.190.112:8009       | 有效频道:2 | 平均: 1.98 Mbps
